PlayerId;OverallStats
1664;69
1680;70
1697;69
3613;77
3673;50
4007;67
4039;83
4113;74
4188;61
4278;76
4414;72
4522;86
4583;69
4882;74
4884;75
5417;78
5518;75
6089;70
6182;66
6265;69
6317;65
6480;71
6500;68
6526;72
6577;77
6621;67
6959;69
7305;70
7318;70
7474;72
7506;75
7511;86
7802;62
7806;75
7814;75
7823;71
7857;73
7873;80
8757;58
8770;60
8823;73
8846;69
8849;74
8944;85
8959;66
9041;74
9087;77
9121;69
9205;69
9211;75
9226;67
9238;62
9332;60
9375;76
9379;82
9416;71
9452;72
9534;65
11034;67
15794;68
15814;69
16346;82
16409;67
16728;75
16794;67
16851;78
30012;75
30074;70
30117;73
30163;70
30316;69
31018;66
31044;70
31308;65
32021;76
32156;64
32262;72
32353;66
32386;69
32440;62
32470;73
32475;70
32549;57
32561;73
32566;70
32568;73
32694;73
32780;73
32919;74
33041;77
33073;72
33075;71
33107;74
33185;83
33250;81
33266;80
33290;64
33301;74
33302;72
33473;68
33604;73
33669;73
33735;77
33817;64
33874;80
33878;70
33887;73
33901;74
33909;70
33915;81
34014;70
34098;84
34102;70
34135;69
34437;73
34484;72
34514;74
34614;54
34638;77
34704;60
34781;74
34797;75
34813;76
34848;74
34850;67
34881;78
34882;83
34939;64
34979;70
34986;65
34991;68
35031;71
35033;72
35124;70
35138;74
35199;70
35200;72
35226;68
35250;74
35252;69
35324;61
35462;81
35477;72
35479;81
35492;66
35876;76
35880;73
36156;68
36336;70
36627;85
36665;75
36671;73
36703;76
36706;63
36714;76
36718;75
36727;77
36768;73
36776;70
36821;74
36862;70
36878;72
36912;68
36943;76
36945;70
36949;73
37005;65
37030;62
37053;72
37087;60
37106;83
37140;77
37149;69
37151;73
37260;64
37277;72
37289;73
37304;75
37337;70
37356;71
37377;77
37379;73
37391;66
37398;73
37401;65
37405;65
37437;72
37496;68
37506;69
37510;65
37511;69
37518;71
37522;73
37602;61
37638;79
37715;76
37827;74
37846;68
37862;69
37874;65
37901;70
37918;68
37976;64
38112;75
38115;69
38121;64
38175;73
38179;74
38187;67
38192;71
38199;73
38269;74
38274;75
38288;69
38292;64
38297;72
38323;72
38352;80
38365;64
38374;63
38390;67
38403;70
38422;71
38439;82
38475;77
38509;68
38531;69
38534;70
38539;64
38540;72
38567;78
38568;80
38627;78
38630;79
38640;66
38685;74
38743;65
38771;74
38778;67
38779;80
38780;62
38784;84
38797;76
38807;65
38810;72
38812;67
38816;77
38831;64
38852;58
38858;77
38863;68
38891;63
38951;74
39173;83
39178;67
39238;80
39239;65
39268;83
39270;78
39278;76
39301;64
39339;67
39441;75
39469;69
39673;72
39687;67
39699;72
39706;63
39719;74
39771;69
39786;74
39798;67
39801;80
39804;71
39913;62
39936;81
40002;86
40003;70
40122;83
40179;81
40211;74
40225;75
40240;78
40253;73
40260;73
40277;68
40283;72
40290;66
40295;78
40323;81
40335;63
40352;83
40353;76
40362;68
40368;74
40393;61
40407;70
40425;79
40433;73
40455;70
40456;77
40472;75
40525;78
40568;70
40571;85
40573;74
40581;65
40585;72
40617;73
40631;73
40661;72
40662;64
40677;71
40683;64
40702;63
40725;80
40735;70
40749;70
40786;81
40875;82
40884;79
40937;83
40987;75
40990;76
41000;73
41028;68
41045;68
41047;76
41066;76
41082;79
41083;75
41084;69
41088;68
41096;65
41100;73
41119;76
41120;75
41124;80
41144;65
41146;78
41152;76
41153;78
41158;63
41163;74
41169;69
41174;73
41204;76
41209;70
41235;60
41236;69
41272;67
41275;70
41276;62
41294;71
41295;72
41425;70
41428;68
41444;67
41451;73
41517;73
41522;62
41527;68
41533;70
41538;70
41547;73
41548;70
41555;79
41570;70
41581;80
41595;67
41596;80
41637;70
41640;73
41674;71
41686;82
41688;75
41737;77
41904;73
41975;69
41984;70
42033;76
42048;76
42093;67
42101;71
42117;64
42125;76
42173;72
42181;72
42249;64
42291;65
42308;70
42311;68
42316;83
42322;74
42337;73
42346;72
42353;70
42402;75
42416;71
42424;84
42429;74
42433;63
42452;71
42455;75
42473;70
42502;63
42535;68
42539;77
42545;73
42556;85
42558;66
42559;74
42575;78
42577;82
42578;69
42582;71
42586;62
42589;74
42606;78
42641;78
42654;68
42669;81
42688;66
42697;75
42698;69
42751;70
42752;74
42806;75
42817;68
42821;75
42825;76
42839;79
42846;74
42854;72
42868;78
42892;76
42898;77
42917;81
42929;69
42935;62
42944;70
43001;73
43006;69
43026;77
43040;79
43047;71
43058;68
43063;83
43075;78
43082;68
43086;73
43094;78
43133;71
43135;81
43157;78
43166;74
43178;75
43190;62
43202;72
43210;74
43211;80
43230;65
43256;68
43380;69
43398;66
43441;63
43467;71
43596;72
43612;71
43638;82
43643;58
43668;73
43694;70
43695;75
43731;67
43747;71
43752;66
43761;77
43773;71
43792;71
43798;74
43814;69
43815;62
43816;68
43888;66
43896;60
43949;64
43970;71
43985;78
43988;74
43989;76
44006;65
44023;74
44037;70
44104;88
44169;75
44171;72
44184;72
44187;66
44193;65
44210;69
44212;67
44214;67
44228;72
44241;66
44245;76
44272;72
44278;71
44354;67
44379;88
44383;91
44401;73
44423;65
44440;76
44443;66
44444;65
44449;70
44451;68
44497;78
44516;68
44527;80
44550;75
44556;65
44562;69
44591;62
44619;67
44620;75
44636;74
44637;71
44643;71
44654;73
44656;71
44676;83
44679;79
44682;75
44694;71
44702;77
44705;73
44708;81
44711;65
44721;64
44743;78
44746;59
44748;71
44760;77
44761;69
44766;77
44791;72
44797;71
44802;79
44817;70
44838;74
44840;86
44857;73
44858;65
44910;72
44941;70
44953;67
44987;72
45023;78
45025;78
45028;72
45041;77
45049;76
45055;71
45069;64
45071;73
45078;76
45079;75
45081;76
45082;67
45089;79
45090;75
45095;68
45106;71
45111;71
45113;72
45120;74
45124;78
45130;78
45131;70
45134;75
45135;67
45137;75
45142;77
45144;79
45151;63
45181;69
45182;72
45196;70
45208;68
45238;71
45247;78
45254;72
45290;83
45292;73
45300;70
45317;68
