PlayerId;OverallStats
40581;65
42669;82
47070;79
57939;64
60512;88
101185;85
101355;67
101958;78
102761;75
107553;78
107590;80
108419;65
108695;80
109329;81
110667;80
110803;73
111989;78
113573;83
114105;82
114195;77
117793;81
118038;75
118096;78
118136;78
118195;77
119889;80
34882;84
47242;79
59773;80
63500;82
63605;80
101301;83
102397;77
103404;86
103613;83
104794;86
106588;82
107256;81
108200;80
108693;87
108959;88
110774;88
111207;89
111935;85
113436;83
114782;67
114890;78
114906;84
118340;87
118527;82
33915;78
39270;78
60523;84
61069;77
103505;78
103513;78
103875;88
104008;78
105469;85
107954;79
108699;75
108826;80
110073;73
110679;78
113127;81
113775;68
113890;64
113901;76
114075;71
114891;86
116575;85
116708;75
117043;68
117087;82
118454;80
118680;77
119863;79
120355;80
121310;81
121373;79
44708;81
44840;88
57123;89
59714;86
63474;88
100281;83
100706;86
101028;81
101215;64
103558;73
104337;79
107656;83
107693;71
109396;70
110551;65
111031;61
112514;85
113661;80
113900;87
114117;64
114235;80
114711;69
114975;85
115079;87
118165;61
118335;86
121980;79
122012;83
1073758298;79
4884;75
9211;75
44497;78
45137;74
100527;73
100998;74
101047;76
101075;77
104306;77
106414;63
106416;75
106423;72
110394;78
110491;77
111045;76
111344;76
114663;77
115263;75
115385;75
117961;62
118201;78
118246;72
118294;63
118726;76
122005;76
122265;74
1073857486;76
3613;77
34437;74
42825;77
46741;78
46951;77
57413;72
60614;73
61050;76
102692;77
103701;73
109579;77
112012;76
113357;78
114186;83
114876;79
115176;80
115335;60
115338;73
115937;76
117703;75
118021;77
118592;70
120310;76
32386;68
42917;80
44245;79
59486;82
59797;80
100299;79
103512;82
103830;80
108095;76
109585;71
109911;72
111123;81
112489;81
112978;62
113502;82
114855;80
115228;77
115234;64
117917;76
118171;86
118205;80
118303;77
118491;80
120368;82
122002;81
1073788255;86
42539;78
44702;77
45089;80
59801;85
100400;78
100676;70
101076;86
101288;79
101838;81
104102;74
106863;78
108079;78
109123;76
112212;81
113066;77
114029;81
114626;73
114880;84
114910;80
116211;79
118007;79
118042;83
118174;83
118656;78
121948;84
33266;82
40002;86
40937;83
47184;78
47406;86
47787;84
57740;75
103845;80
107714;83
108662;87
108876;83
110638;81
110644;89
110784;86
110902;84
112906;76
113968;62
114620;82
114762;83
116751;84
117736;89
118381;90
118559;83
121979;74
41124;80
44383;90
57353;84
61230;77
101291;89
102055;82
103003;81
103797;82
104677;84
104710;80
105073;80
107889;81
110718;91
113405;85
113525;84
113911;88
114566;81
115913;78
117047;89
117938;77
117985;73
118092;81
118207;63
118417;84
118571;64
119782;84
35138;74
42308;71
45113;73
