position;model_name;feature;weight
RMF;AnchorElasticNet;speed;0,16326587574351648
RMF;AnchorElasticNet;explosive_power;0,0
RMF;AnchorElasticNet;body_control;0,0
RMF;AnchorElasticNet;physical_contact;0,0
RMF;AnchorElasticNet;jump;0,0984787579927767
RMF;AnchorElasticNet;stamina;0,08635608955226354
AMF;AnchorElasticNet;__intercept__;0,0
AMF;AnchorElasticNet;attacking_prowess;0,11440272317357464
AMF;AnchorElasticNet;ball_control;0,0
AMF;AnchorElasticNet;dribbling;0,0
AMF;AnchorElasticNet;low_pass;0,0
AMF;AnchorElasticNet;lofted_pass;0,021669747045899298
AMF;AnchorElasticNet;finishing;0,08238947104344169
AMF;AnchorElasticNet;header;0,0
AMF;AnchorElasticNet;defensive_prowess;0,0
AMF;AnchorElasticNet;ball_winning;0,0
AMF;AnchorElasticNet;kicking_power;0,10063656359427985
AMF;AnchorElasticNet;speed;0,21116884061950217
AMF;AnchorElasticNet;explosive_power;0,0
AMF;AnchorElasticNet;body_control;0,0
AMF;AnchorElasticNet;physical_contact;0,0
AMF;AnchorElasticNet;jump;0,0009171137137365348
AMF;AnchorElasticNet;stamina;0,050892941089513206
LWF;AnchorLasso;__intercept__;0,0
LWF;AnchorLasso;attacking_prowess;0,2602888211594715
LWF;AnchorLasso;ball_control;0,0
LWF;AnchorLasso;dribbling;0,0
LWF;AnchorLasso;low_pass;0,0
LWF;AnchorLasso;lofted_pass;0,020977186118827353
LWF;AnchorLasso;finishing;0,05334198720121113
LWF;AnchorLasso;header;0,0
LWF;AnchorLasso;defensive_prowess;0,0
LWF;AnchorLasso;ball_winning;0,0
LWF;AnchorLasso;kicking_power;0,04177561073068741
LWF;AnchorLasso;speed;0,20362455034887542
LWF;AnchorLasso;explosive_power;0,0
LWF;AnchorLasso;body_control;0,0
LWF;AnchorLasso;physical_contact;0,0
LWF;AnchorLasso;jump;0,06379510527261098
LWF;AnchorLasso;stamina;0,20097221903911217
RWF;AnchorElasticNet;__intercept__;0,0
RWF;AnchorElasticNet;attacking_prowess;0,28036742011639926
RWF;AnchorElasticNet;ball_control;0,0
RWF;AnchorElasticNet;dribbling;0,0
RWF;AnchorElasticNet;low_pass;0,0
RWF;AnchorElasticNet;lofted_pass;0,0
RWF;AnchorElasticNet;finishing;0,1211622259791287
RWF;AnchorElasticNet;header;0,0
RWF;AnchorElasticNet;defensive_prowess;0,0
RWF;AnchorElasticNet;ball_winning;0,0
RWF;AnchorElasticNet;kicking_power;0,05768798919474469
RWF;AnchorElasticNet;speed;0,29801840286506115
RWF;AnchorElasticNet;explosive_power;0,0
RWF;AnchorElasticNet;body_control;0,0
RWF;AnchorElasticNet;physical_contact;0,0
RWF;AnchorElasticNet;jump;0,03391137506341995
RWF;AnchorElasticNet;stamina;0,25311145449673267
SS;AnchorRidge;__intercept__;0,0
SS;AnchorRidge;attacking_prowess;0,08510845685315947
SS;AnchorRidge;ball_control;0,0
SS;AnchorRidge;dribbling;0,0
SS;AnchorRidge;low_pass;0,0
SS;AnchorRidge;lofted_pass;0,0
SS;AnchorRidge;finishing;0,04521580500062882
SS;AnchorRidge;header;0,0
SS;AnchorRidge;defensive_prowess;0,0
SS;AnchorRidge;ball_winning;0,0
SS;AnchorRidge;kicking_power;0,03682536413374446
SS;AnchorRidge;speed;0,016436215564042518
SS;AnchorRidge;explosive_power;0,0
SS;AnchorRidge;body_control;0,0
SS;AnchorRidge;physical_contact;0,0
SS;AnchorRidge;jump;0,11397685502338557
SS;AnchorRidge;stamina;0,08471099403473717
CF;AnchorLinearRegression;__intercept__;0,0
CF;AnchorLinearRegression;attacking_prowess;0,21982943597710472
CF;AnchorLinearRegression;ball_control;0,0
CF;AnchorLinearRegression;dribbling;0,0
CF;AnchorLinearRegression;low_pass;0,0
CF;AnchorLinearRegression;lofted_pass;0,08442026067118165
CF;AnchorLinearRegression;finishing;0,33423059086673373
CF;AnchorLinearRegression;header;0,0
CF;AnchorLinearRegression;defensive_prowess;0,0
CF;AnchorLinearRegression;ball_winning;0,0
CF;AnchorLinearRegression;kicking_power;0,004424814627063463
CF;AnchorLinearRegression;speed;0,24641814963210157
CF;AnchorLinearRegression;explosive_power;0,0
CF;AnchorLinearRegression;body_control;0,0
CF;AnchorLinearRegression;physical_contact;0,0
CF;AnchorLinearRegression;jump;0,0
CF;AnchorLinearRegression;stamina;0,1783247943620665
